,postdate,source,headline,btc_label,ltc_label,eth_label
0,2017-01-01 13:50:25,coindesk.com,coindesk's charles bovaird asks the experts for their predictions of bitcoin's price movements in the year ahead ,1,1,1
1,2017-01-01 15:33:53,coindesk.com,"the blockchain industry is likely to see growth in 2017, investor michael terpin argues, but he cautions we're not ready for the big breakout yet ",1,1,1
2,2017-01-01 21:04:02,coindesk.com,"the price of bitcoin passed  1,000 during the first day of trading in 2017 ",1,1,1
3,2017-01-02 12:07:00,coindesk.com,do 2016's political changes foreshadow blockchain's impact? cryptiv's ceo argues the two might be more intertwined than one might think ,1,0,1
4,2017-01-02 14:43:09,coindesk.com,bitspark's george harrap lists his takeaways from three years of running a bitcoin based remittance startup ,1,0,1
5,2017-01-03 11:07:02,coindesk.com,a detailed look at the current environment for blockchain standards   as well as past precedents that may inform future steps  ,1,0,1
6,2017-01-03 12:42:13,coindesk.com,"think coinbase's irs issues are about bitcoin alone? the implications are far more broad, coindesk's noelle acheson argues ",1,0,1
7,2017-01-03 13:06:04,coindesk.com,state street bank is on the verge of putting significant amounts of its workflow on a blockchain  coindesk speaks to the executives involved ,1,0,1
8,2017-01-03 14:06:59,coindesk.com,spanish banking group bbva has released a new research note that argues for more immediate blockchain regulation  ,1,0,1
9,2017-01-03 15:30:00,coindesk.com,what's in store for delaware's blockchain work in 2017? the us state's blockchain ombudsperson provides an update ,1,0,1
10,2017-01-03 16:45:58,coindesk.com,argentinian bitcoin startup ripio has raised  2 3m in series a capital ,1,0,1
11,2017-01-03 18:55:32,coindesk.com,india's fifth largest bank has built a blockchain vendor financing solution for one of its clients  ,1,0,1
12,2017-01-03 20:16:38,coindesk.com,"market intelligence firm greenwich associates is betting the blockchain hype bubble won't burst in 2017",1,0,1
13,2017-01-04 00:01:11,coindesk.com,kraken announced 3rd january that it had become one of the largest exchanges to offering monero based trading  ,0,0,0
14,2017-01-04 05:15:22,coindesk.com,"the price of bitcoin is now just  110 short of its all time high reached in november 2013, bpi data reveals ",0,0,0
15,2017-01-04 11:33:11,coindesk.com,pwc's ajit tripathi gives coindesk his predictions for the blockchain industry in the year ahead ,0,0,0
16,2017-01-04 12:00:29,coindesk.com,2016 was a quiet one for blockchain regulation   yet compliance expert juan llanos argues it could be the calm before a storm ,0,0,0
17,2017-01-04 13:11:25,coindesk.com,one of the uae's largest telcos has announced a new partner in its drive for blockchain powered medical records ,0,0,0
18,2017-01-04 14:00:36,coindesk.com,charlie shrem is re imagining investment on the ethereum blockchain with a fund focusing on garbage ,0,0,0
19,2017-01-04 15:00:07,coindesk.com,"despite the hype around enterprise blockchain technologies, achievements in the bitcoin community have been greater, argues ferdinando ametrano ",0,0,0
