Date,Open,High,Low,Close,Volume
2016-12-31,963.38,1001.61,956.1,995.44,41148.52
2017-01-01,995.44,1031.68,990.2,1017.05,64951.63
2017-01-02,1017.05,1035.47,1006.53,1033.3,54788.01
2017-01-03,1033.3,1148.54,1022.32,1135.41,156272.17
2017-01-04,1135.41,1150.63,874.53,989.35,240007.84
2017-01-05,989.35,1027.42,852.55,886.16,194290.96
2017-01-06,886.16,900.86,806.66,888.87,130663.09
2017-01-07,888.87,936.13,875.85,900.86,76905.99
2017-01-08,900.86,910.47,870.91,899.78,62579.5
2017-01-09,899.78,911.32,890.12,904.37,53709.46
2017-01-10,904.37,917.65,751.63,785.43,194436.54
2017-01-11,785.43,828.21,739.55,810.11,120241.76
2017-01-12,810.11,835.05,771.0,824.83,89861.97
2017-01-13,824.83,838.9,808.27,819.63,44207.74
2017-01-14,819.63,826.43,808.63,821.17,24401.41
2017-01-15,821.17,836.66,817.7,827.34,33222.93
2017-01-16,827.34,906.38,825.04,899.66,82207.99
2017-01-17,899.66,913.67,845.87,872.03,69258.17
2017-01-18,872.03,905.28,870.71,895.21,58440.87
2017-01-19,895.21,901.49,878.9,892.91,38865.48
2017-01-20,892.91,928.93,889.46,919.84,40378.21
2017-01-21,919.84,938.38,888.62,918.84,47927.32
2017-01-22,918.84,927.98,910.85,921.46,32744.43
2017-01-23,921.46,925.61,889.15,893.75,58874.32
2017-01-24,893.75,905.7,883.63,894.41,37902.18
2017-01-25,894.41,919.32,893.49,915.56,33800.2
2017-01-26,915.56,922.56,907.92,918.01,30968.49
2017-01-27,918.01,921.89,912.84,918.51,14307.36
2017-01-28,918.51,922.4,912.68,914.55,11052.31
2017-01-29,914.55,922.35,911.51,920.73,19062.15
2017-01-30,920.73,967.45,917.38,965.49,54670.21
2017-01-31,965.49,986.57,959.82,982.43,45223.3
2017-02-01,982.43,1009.13,973.5,1003.97,50863.87
2017-02-02,1003.97,1023.72,989.21,1013.02,61671.88
2017-02-03,1013.02,1041.04,1000.41,1031.85,39461.62
2017-02-04,1031.85,1033.66,1004.05,1016.11,31058.49
2017-02-05,1016.11,1030.6,1010.83,1024.67,32019.82
2017-02-06,1024.67,1054.1,1019.87,1049.56,39553.25
2017-02-07,1049.56,1069.23,1020.33,1055.49,65145.12
2017-02-08,1055.49,1073.03,924.65,978.96,146746.26
2017-02-09,978.96,1005.6,947.02,997.61,62132.99
2017-02-10,997.61,1014.32,983.93,1008.32,28319.39
2017-02-11,1008.32,1007.82,992.45,996.52,14750.39
2017-02-12,996.52,1007.61,975.1,995.36,32908.63
2017-02-13,995.36,1013.8,986.46,1008.34,39537.9
2017-02-14,1008.34,1010.93,999.73,1008.19,23359.15
2017-02-15,1008.19,1040.28,1007.39,1031.93,38080.21
2017-02-16,1031.93,1057.39,1025.87,1049.41,45711.79
2017-02-17,1049.41,1063.21,1044.68,1052.28,25362.02
2017-02-18,1052.28,1056.48,1037.67,1048.89,17953.15
2017-02-19,1048.89,1081.78,1040.99,1077.56,31010.85
2017-02-20,1077.56,1123.03,1073.54,1119.03,57048.87
2017-02-21,1119.03,1132.25,1094.83,1120.46,47913.31
2017-02-22,1120.46,1181.6,1113.54,1171.91,65737.1
2017-02-23,1171.91,1211.74,1092.41,1176.49,108170.88
2017-02-24,1176.49,1180.01,1116.21,1149.05,45860.52
2017-02-25,1149.05,1177.47,1130.61,1171.58,30764.77
2017-02-26,1171.58,1195.82,1164.27,1188.83,35468.84
2017-02-27,1188.83,1208.22,1175.75,1189.27,50579.83
2017-02-28,1189.27,1225.04,1154.55,1222.66,51153.83
2017-03-01,1222.66,1286.98,1211.96,1255.47,78492.01
2017-03-02,1255.47,1291.35,1250.8,1283.3,67275.49
2017-03-03,1283.3,1285.78,1228.73,1264.32,38418.2
2017-03-04,1264.32,1273.28,1242.1,1271.22,25430.23
2017-03-05,1271.22,1280.61,1261.0,1277.01,31026.9
2017-03-06,1277.01,1280.89,1148.66,1232.69,87722.01
2017-03-07,1232.69,1242.04,1136.88,1146.97,97875.25
2017-03-08,1146.97,1206.97,1129.35,1191.33,59860.55
2017-03-09,1191.33,1330.42,988.69,1112.39,190472.52
2017-03-10,1112.39,1202.69,1104.78,1179.22,70747.22
2017-03-11,1179.22,1235.46,1160.9,1225.11,44412.09
2017-03-12,1225.11,1245.63,1205.61,1238.19,60460.94
2017-03-13,1238.19,1255.52,1218.38,1243.14,45142.05
2017-03-14,1243.14,1256.95,1236.43,1253.43,43592.4
2017-03-15,1253.43,1260.24,1118.96,1172.88,132773.3
2017-03-16,1172.88,1174.9,1063.48,1071.71,163739.0
2017-03-17,1071.71,1103.61,940.18,971.38,210424.36
2017-03-18,971.38,1063.67,967.31,1022.6,106444.72
2017-03-19,1022.6,1057.5,1005.05,1047.51,61431.4
2017-03-20,1047.51,1125.53,1043.87,1121.29,92591.27
2017-03-21,1121.29,1121.88,997.78,1044.72,115286.08
2017-03-22,1044.72,1062.79,1022.02,1035.03,56517.89
2017-03-23,1035.03,1038.38,927.35,939.7,132599.72
2017-03-24,939.7,995.96,890.43,966.3,127044.59
2017-03-25,966.3,1004.32,946.65,969.44,85332.41
2017-03-26,969.44,1048.85,961.8,1045.14,91256.43
2017-03-27,1045.14,1068.41,1015.45,1044.42,80000.9
2017-03-28,1044.42,1058.66,1008.34,1041.9,68852.51
2017-03-29,1041.9,1052.66,1020.93,1037.91,74984.88
2017-03-30,1037.91,1088.2,1035.18,1079.11,90987.94
2017-03-31,1079.11,1103.74,1067.47,1086.12,50658.36
2017-04-01,1086.12,1109.48,1074.21,1097.4,70980.71
2017-04-02,1097.4,1157.87,1095.55,1147.56,98499.3
2017-04-03,1147.56,1161.19,1122.15,1141.77,70998.95
2017-04-04,1141.77,1143.84,1110.06,1129.87,69469.37
2017-04-05,1129.87,1201.55,1130.51,1188.7,92357.58
2017-04-06,1188.7,1201.23,1173.18,1190.49,59746.57
2017-04-07,1190.49,1198.22,1166.65,1180.78,33180.63
2017-04-08,1180.78,1215.1,1173.99,1204.34,45351.08
2017-04-09,1204.34,1214.87,1194.81,1206.71,40013.05
2017-04-10,1206.71,1229.57,1195.76,1220.74,37394.78
2017-04-11,1220.74,1225.46,1207.36,1212.53,44783.23
2017-04-12,1212.53,1218.66,1150.29,1176.2,66051.93
2017-04-13,1176.2,1195.4,1162.16,1177.33,47217.49
2017-04-14,1177.33,1194.85,841.53,1176.99,28384.58
2017-04-15,1176.99,1187.97,1166.74,1176.8,18930.29
2017-04-16,1176.8,1202.97,1172.81,1194.01,46483.54
2017-04-17,1194.01,1213.88,1191.14,1206.09,52747.52
2017-04-18,1206.09,1218.21,1194.08,1215.2,43347.15
2017-04-19,1215.2,1246.64,1210.67,1238.09,55194.86
2017-04-20,1238.09,1256.97,1235.56,1249.64,41344.02
2017-04-21,1249.64,1256.97,1215.78,1240.89,43814.59
2017-04-22,1240.89,1256.23,1223.06,1249.14,42608.01
2017-04-23,1249.14,1256.36,1234.86,1248.18,38542.24
2017-04-24,1248.18,1272.62,1244.21,1264.31,43885.78
2017-04-25,1264.31,1309.2,1263.0,1286.63,58908.66
2017-04-26,1286.63,1346.79,1285.3,1332.91,61771.48
2017-04-27,1332.91,1356.15,1287.62,1329.62,77569.41
