Date,Open,High,Low,Close,Volume
2017-01-01,8.14,8.47,8.03,8.33,156606.04
2017-01-02,8.33,9.94,8.18,9.59,571218.0
2017-01-03,9.59,10.89,9.31,10.88,668352.35
2017-01-04,10.88,11.63,9.07,10.2,869504.52
2017-01-05,10.2,10.42,9.44,10.07,348103.81
2017-01-06,10.07,10.12,9.47,9.78,198160.0
2017-01-07,9.78,10.39,9.67,10.27,191334.34
2017-01-08,10.27,10.75,10.03,10.2,222512.84
2017-01-09,10.2,10.68,10.23,10.55,151430.67
2017-01-10,10.55,10.72,9.49,9.83,351692.89
2017-01-11,9.83,10.23,9.14,9.81,244170.16
2017-01-12,9.81,9.9,9.47,9.78,124371.63
2017-01-13,9.78,9.91,9.63,9.78,62667.78
2017-01-14,9.78,9.99,9.73,9.88,47446.58
2017-01-15,9.88,10.12,9.55,9.59,87968.07
2017-01-16,9.59,10.53,9.56,10.14,280999.87
2017-01-17,10.14,10.46,9.91,10.19,194995.48
2017-01-18,10.19,10.52,10.17,10.43,114204.82
2017-01-19,10.43,10.75,10.31,10.6,154181.07
2017-01-20,10.6,11.0,10.54,10.91,154151.84
2017-01-21,10.91,11.01,10.6,10.71,133890.8
2017-01-22,10.71,10.96,10.63,10.78,96166.45
2017-01-23,10.78,10.87,10.49,10.51,125290.45
2017-01-24,10.51,10.65,10.4,10.51,82282.71
2017-01-25,10.51,10.67,10.48,10.65,89098.36
2017-01-26,10.65,10.67,10.41,10.51,100982.8
2017-01-27,10.51,10.57,10.44,10.54,73008.33
2017-01-28,10.54,10.56,10.44,10.47,39351.73
2017-01-29,10.47,10.77,10.42,10.62,129400.76
2017-01-30,10.62,10.8,10.53,10.71,190048.36
2017-01-31,10.71,10.87,10.53,10.71,220944.16
2017-02-01,10.71,10.92,10.57,10.78,253645.4
2017-02-02,10.78,10.95,10.55,10.95,238476.61
2017-02-03,10.95,11.4,10.88,11.32,223661.5
2017-02-04,11.32,11.39,11.1,11.22,80557.88
2017-02-05,11.22,11.39,11.18,11.32,86056.75
2017-02-06,11.32,11.55,11.26,11.45,129780.16
2017-02-07,11.45,11.6,11.11,11.39,162470.22
2017-02-08,11.39,11.49,10.53,10.94,303533.03
2017-02-09,10.94,11.44,10.81,11.34,176157.32
2017-02-10,11.34,11.45,11.28,11.43,99700.65
2017-02-11,11.43,11.49,11.34,11.42,59766.91
2017-02-12,11.42,11.49,11.19,11.39,92414.71
2017-02-13,11.39,14.05,11.32,13.0,694347.97
2017-02-14,13.0,13.68,12.63,12.97,310263.53
2017-02-15,12.97,13.06,12.64,12.95,2035678.87
2017-02-16,12.95,12.94,12.68,12.72,157465.53
2017-02-17,12.72,12.89,12.71,12.83,99183.87
2017-02-18,12.83,12.92,12.74,12.82,79992.21
2017-02-19,12.82,12.9,12.48,12.52,155135.12
2017-02-20,12.52,12.84,12.25,12.77,216773.59
2017-02-21,12.77,12.9,12.62,12.69,135387.41
2017-02-22,12.69,13.3,12.64,13.13,221592.54
2017-02-23,13.13,13.29,12.72,13.11,265438.72
2017-02-24,13.11,13.78,12.97,13.57,263934.92
2017-02-25,13.57,14.65,13.37,14.59,328409.76
2017-02-26,14.59,16.09,14.3,15.55,551363.78
2017-02-27,15.55,16.75,15.19,16.07,1253508.43
2017-02-28,16.07,17.65,15.68,17.55,844865.11
2017-03-01,17.55,19.64,16.58,19.08,1091778.86
2017-03-02,19.08,21.06,17.81,19.48,1228424.54
2017-03-03,19.48,20.19,18.56,18.61,383765.3
2017-03-04,18.61,19.4,18.1,19.22,307796.26
2017-03-05,19.22,20.3,19.0,19.75,516776.0
2017-03-06,19.75,19.81,18.52,18.91,581719.83
2017-03-07,18.91,18.93,16.51,16.54,744408.07
2017-03-08,16.54,18.13,15.94,17.71,532796.89
2017-03-09,17.71,19.68,16.57,19.13,1365580.33
2017-03-10,19.13,21.64,18.72,21.45,808945.16
2017-03-11,21.45,23.81,21.2,23.31,810416.18
2017-03-12,23.31,31.04,23.3,28.45,2259579.53
2017-03-13,28.45,29.88,26.91,28.58,727787.41
2017-03-14,28.58,35.32,28.31,35.18,1312919.91
2017-03-15,35.18,46.55,34.76,45.51,2726645.09
2017-03-16,45.51,54.88,34.55,44.48,2813509.21
2017-03-17,44.48,45.24,30.63,34.0,2112492.29
2017-03-18,34.0,45.55,33.4,43.12,1656354.27
2017-03-19,43.12,45.51,40.93,42.51,832582.16
2017-03-20,42.51,43.8,41.68,42.67,484366.03
2017-03-21,42.67,42.94,38.56,41.65,608057.78
2017-03-22,41.65,44.26,40.59,43.2,563076.3
2017-03-23,43.2,53.74,42.77,53.19,1528088.17
2017-03-24,53.19,53.59,47.62,50.62,1087149.29
2017-03-25,50.62,51.68,48.45,50.63,463494.42
2017-03-26,50.63,51.72,48.33,49.06,486365.93
