Date,Open,High,Low,Close,Volume
2016-12-31,4.32,4.5,4.26,4.42,141065.62
2017-01-01,4.42,4.69,4.37,4.54,263459.39
2017-01-02,4.54,4.63,4.42,4.51,109615.25
2017-01-03,4.51,4.73,4.36,4.42,410310.8
2017-01-04,4.42,4.63,3.95,4.16,533084.48
2017-01-05,4.16,4.29,3.61,3.76,408047.14
2017-01-06,3.76,3.93,3.48,3.82,211872.87
2017-01-07,3.82,3.96,3.8,3.91,126925.98
2017-01-08,3.91,4.32,3.78,4.25,212276.19
2017-01-09,4.25,4.58,4.15,4.47,267142.03
2017-01-10,4.47,4.57,3.69,3.84,566773.93
2017-01-11,3.84,4.05,3.68,3.94,234025.05
2017-01-12,3.94,4.02,3.76,3.86,144342.38
2017-01-13,3.86,4.0,3.8,3.89,89623.37
2017-01-14,3.89,3.9,3.79,3.85,54666.88
2017-01-15,3.85,3.88,3.79,3.82,70555.22
2017-01-16,3.82,3.94,3.79,3.89,178325.22
2017-01-17,3.89,3.92,3.7,3.8,150581.57
2017-01-18,3.8,3.91,3.75,3.82,126497.67
2017-01-19,3.82,3.92,3.78,3.84,119574.48
2017-01-20,3.84,3.9,3.84,3.85,51981.07
2017-01-21,3.85,3.88,3.77,3.81,73868.92
2017-01-22,3.81,3.84,3.77,3.82,61339.83
2017-01-23,3.82,3.83,3.74,3.75,65753.29
2017-01-24,3.75,3.78,3.64,3.66,82872.58
2017-01-25,3.66,3.85,3.63,3.81,111161.45
2017-01-26,3.81,3.86,3.74,3.85,58439.82
2017-01-27,3.85,3.86,3.79,3.84,46694.81
2017-01-28,3.84,3.86,3.8,3.82,30298.19
2017-01-29,3.82,4.06,3.82,3.99,240603.99
2017-01-30,3.99,4.15,3.96,4.02,272655.06
2017-01-31,4.02,4.06,3.96,4.0,119124.92
2017-02-01,4.0,4.04,3.93,4.03,117230.18
2017-02-02,4.03,4.06,3.91,3.99,142584.61
2017-02-03,3.99,4.02,3.89,3.96,92370.45
2017-02-04,3.96,4.03,3.9,3.97,52912.36
2017-02-05,3.97,3.96,3.89,3.93,45254.84
2017-02-06,3.93,3.98,3.89,3.93,97535.28
2017-02-07,3.93,3.98,3.84,3.93,91785.86
2017-02-08,3.93,3.95,3.49,3.67,449703.04
2017-02-09,3.67,3.79,3.56,3.76,164846.2
2017-02-10,3.76,3.83,3.75,3.81,37041.98
2017-02-11,3.81,3.79,3.71,3.73,42102.09
2017-02-12,3.73,3.76,3.67,3.74,58494.73
2017-02-13,3.74,3.8,3.69,3.8,70472.21
2017-02-14,3.8,3.84,3.75,3.81,86081.03
2017-02-15,3.81,3.89,3.79,3.84,75952.7
2017-02-16,3.84,3.88,3.75,3.83,73493.59
2017-02-17,3.83,3.86,3.75,3.78,53314.92
2017-02-18,3.78,3.79,3.72,3.75,75223.93
2017-02-19,3.75,3.79,3.69,3.73,136386.22
2017-02-20,3.73,3.81,3.72,3.78,155651.65
2017-02-21,3.78,3.84,3.45,3.8,181410.6
2017-02-22,3.8,3.9,3.78,3.8,111006.61
2017-02-23,3.8,3.91,3.72,3.87,174656.19
2017-02-24,3.87,3.91,3.81,3.85,82201.81
2017-02-25,3.85,3.87,3.78,3.82,63191.44
2017-02-26,3.82,3.87,3.79,3.83,133080.3
2017-02-27,3.83,3.87,3.76,3.77,73064.06
2017-02-28,3.77,3.87,3.75,3.8,109981.1
2017-03-01,3.8,4.35,3.78,3.96,568259.54
2017-03-02,3.96,4.13,3.94,4.02,213544.7
2017-03-03,4.02,4.06,3.91,3.98,75332.08
2017-03-04,3.98,4.0,3.9,3.97,71886.78
2017-03-05,3.97,4.07,3.93,4.05,98688.3
2017-03-06,4.05,4.09,3.9,3.96,117704.6
2017-03-07,3.96,3.98,3.78,3.8,101915.52
2017-03-08,3.8,3.92,3.8,3.89,105012.58
2017-03-09,3.89,4.0,3.7,3.78,344511.32
2017-03-10,3.78,3.89,3.73,3.8,123000.2
2017-03-11,3.8,3.91,3.78,3.87,121530.65
2017-03-12,3.87,5.23,3.82,4.36,847383.35
2017-03-13,4.36,4.38,4.03,4.17,388433.27
2017-03-14,4.17,4.37,4.02,4.26,379475.6
2017-03-15,4.26,4.59,4.16,4.33,734977.57
2017-03-16,4.33,4.42,4.07,4.2,490249.11
2017-03-17,4.2,4.35,3.85,4.05,664074.32
2017-03-18,4.05,4.17,3.92,3.98,262223.25
2017-03-19,3.98,4.15,3.9,4.12,164340.31
2017-03-20,4.12,4.15,4.01,4.09,193258.12
2017-03-21,4.09,4.11,3.88,3.98,333168.96
2017-03-22,3.98,4.1,3.94,4.02,125988.06
2017-03-23,4.02,4.37,3.98,4.18,602115.7
2017-03-24,4.18,4.28,4.01,4.13,345085.76
2017-03-25,4.13,4.19,4.04,4.1,148428.28
2017-03-26,4.1,4.2,4.06,4.1,197973.89
2017-03-27,4.1,4.33,4.08,4.2,150308.21
2017-03-28,4.2,4.41,4.14,4.32,252804.25
2017-03-29,4.32,8.23,4.29,7.5,6210643.03
2017-03-30,7.5,7.81,5.89,7.1,3151250.45
2017-03-31,7.1,7.61,6.47,7.48,1588556.39
2017-04-01,7.48,8.56,7.04,8.22,2693165.21
2017-04-02,8.22,9.27,7.48,8.57,2568365.73
2017-04-03,8.57,9.48,8.19,8.97,2404345.59
2017-04-04,8.97,12.85,8.82,12.39,4955100.38
2017-04-05,12.39,12.62,9.83,10.7,4377216.61
2017-04-06,10.7,11.27,9.4,9.89,2169898.73
2017-04-07,9.89,11.22,9.78,10.66,1161955.49
2017-04-08,10.66,10.94,8.71,9.21,2234560.38
2017-04-09,9.21,10.12,8.84,9.8,1425989.85
2017-04-10,9.8,10.32,9.37,9.66,910193.61
2017-04-11,9.66,12.16,9.62,11.6,3144375.43
2017-04-12,11.6,11.72,10.69,11.06,1091425.19
2017-04-13,11.06,11.91,10.99,11.67,999717.53
2017-04-14,11.67,12.2,10.99,11.67,974566.92
2017-04-15,11.67,11.86,11.51,11.73,337748.93
2017-04-16,11.73,12.81,10.54,11.26,1956876.87
2017-04-17,11.26,11.59,10.48,11.06,1706501.32
2017-04-18,11.06,11.21,9.98,10.29,1129200.76
2017-04-19,10.29,11.45,10.1,10.97,1197400.83
2017-04-20,10.97,12.47,10.84,12.0,1958745.07
2017-04-21,12.0,14.51,11.83,14.05,3055822.64
2017-04-22,14.05,15.74,13.86,15.15,3497806.17
2017-04-23,15.15,15.31,14.13,14.87,1387915.53
2017-04-24,14.87,15.26,14.08,15.06,1268246.43
2017-04-25,15.06,15.86,14.48,14.89,1698891.27
2017-04-26,14.89,15.16,13.35,14.66,1755223.79
2017-04-27,14.66,14.83,13.81,14.25,867596.14
2017-04-28,14.25,15.79,14.28,15.75,977777.69
2017-04-29,15.75,16.09,15.29,15.63,962774.12
2017-04-30,15.63,16.25,14.95,15.74,1309033.55
2017-05-01,15.74,15.88,14.94,15.57,680255.23
2017-05-02,15.57,26.52,15.51,20.53,4355708.31
2017-05-03,20.53,26.68,20.35,22.95,4406989.88
2017-05-04,22.95,27.16,22.41,25.2,3182968.53
2017-05-05,25.2,27.93,24.81,27.46,1446194.63
2017-05-06,27.46,30.91,27.3,29.5,2189348.96
2017-05-07,29.5,29.83,27.11,28.1,1481250.67
2017-05-08,28.1,32.44,23.28,31.77,3165969.12
2017-05-09,31.77,36.47,29.04,31.28,3749249.48
2017-05-10,31.28,32.08,26.98,29.88,2127559.8
2017-05-11,29.88,30.78,25.56,26.76,1678280.4
2017-05-12,26.76,28.18,24.47,28.14,1307096.48
2017-05-13,28.14,29.86,26.79,28.07,948382.95
2017-05-14,28.07,28.09,23.23,24.5,1452780.05
2017-05-15,24.5,25.15,20.92,22.83,2254474.46
2017-05-16,22.83,26.0,20.32,25.06,2519724.28
2017-05-17,25.06,28.79,24.44,27.88,1721363.45
2017-05-18,27.88,28.2,26.19,27.27,1358547.95
2017-05-19,27.27,28.17,26.66,27.42,744374.3
2017-05-20,27.42,28.54,25.26,26.02,1255850.56
2017-05-21,26.02,26.7,22.82,24.79,2143563.29
2017-05-22,24.79,31.72,24.4,31.36,2426931.59
2017-05-23,31.36,35.94,29.85,34.8,2329423.55
2017-05-24,34.8,35.76,26.07,28.32,2655714.72
2017-05-25,28.32,31.35,23.35,24.45,2293954.54
2017-05-26,24.45,25.94,18.13,22.83,2924934.35
2017-05-27,22.83,25.92,21.79,23.89,1600758.66
2017-05-28,23.89,25.99,23.01,25.33,1019676.88
2017-05-29,25.33,26.33,23.54,23.89,1156827.3
2017-05-30,23.89,25.99,23.51,25.91,1021629.99
2017-05-31,25.91,29.61,25.77,27.55,1823401.75
2017-06-01,27.55,28.65,26.78,28.27,813270.71
2017-06-02,28.27,28.56,26.81,27.27,615398.94
2017-06-03,27.27,27.93,26.86,27.89,577995.32
2017-06-04,27.89,31.62,27.85,30.78,1365183.65
2017-06-05,30.78,31.19,28.32,30.07,1441633.22
2017-06-06,30.07,30.57,27.88,28.47,874974.15
2017-06-07,28.47,30.39,27.8,29.9,852555.85
