username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
orionwl;2018-03-03 05:28;0;5;"Firstly, asking publicly why something is done. If there is no satisfactory answer or the change is not reverted, they could refuse the new version and modify, run and distribute their own version of the consensus code. As grassroots initiative, UASF set some precedent.";;;;"969927521147019264";https://twitter.com/orionwl/status/969927521147019264
orionwl;2018-03-03 04:23;7;46;"It shouldn't come down to 'faith' in specific people. No one was sworn in with their hand on [religious book] (as if that's any help in practice.) Bitcoin's security hinges on enough people understanding what is happening, paying attention, and speaking up when necessary.";;;;"969911108680278016";https://twitter.com/orionwl/status/969911108680278016
orionwl;2018-03-03 03:52;47;168;"There is much talk of the Genesis block, however rarely mentioned is the Eschaton block. It is the Omega to the Genesis block's Alpha. Its hash has 256 leading zeroes, with the time required for 2^256 operations its pre-text proves that the universe has [successfully] completed";;;;"969903330523865088";https://twitter.com/orionwl/status/969903330523865088
orionwl;2018-03-03 01:45;8;58;"a blockchain project that promises to end human suffering forever - the eternal religious promise, the salvation of the human race, wrapped up in cryptographic architecture. Hash-chained-blocks forming a stairway to Heaven. Can we call peak irrational exuberance now?";;;;"969871361622642688";https://twitter.com/orionwl/status/969871361622642688
orionwl;2018-03-03 01:14;0;1;"or *cough* a badass female AI like Shodan from System Shock (2) and cutesy cyborg monkeys? \ oh wait, you're saying it's supposed to *protect* against threats like that. A shame.";;;;"969863511496183808";https://twitter.com/orionwl/status/969863511496183808
orionwl;2018-03-01 03:33;0;0;"Not sure which community, at this point, as things have become extremely widespread. https:// bitcoincore.org/en/contribute/ has some pointers specific for contributing to bitcoin core.";;;;"969173807641620480";https://twitter.com/orionwl/status/969173807641620480
orionwl;2018-03-01 02:18;0;0;"I know nothing about modern mining, sorry. I've never owned any mining ASICs. Mining bitcoin with commodity hardware is beyond pointless these days, will get you a penny in a million years.";;;;"969154902097321985";https://twitter.com/orionwl/status/969154902097321985
orionwl;2018-03-01 00:16;1;16;"Very much - what is easy to overlook when looking at everything in terms of abstractions, is that every organization, even 'evil' governments, corporations, intelligence agencies consists of people. With their own lives, goals, incentives, which often conflict with their org's.";;;;"969124182285017088";https://twitter.com/orionwl/status/969124182285017088
orionwl;2018-02-28 04:56;0;0;"That said I don't intend to be overly negative here. The laptop is overall working well w/ Linux mainline 4.16-rc3. Apart from the TPM, everything works - GPU (even Vulkan), touchpad, screen, sound, USB, WIFI, SSD+harddisk. I've had much worse.";;;;"968832320424894466";https://twitter.com/orionwl/status/968832320424894466
orionwl;2018-02-28 04:52;0;1;"Teletext! Oh yes. Still aiming for the 80's-early 90's aesthetic, I really like the computer UIs from the time, and the hypothetical ones in movies like Alien. Skip right over the entire Windows era to the future :)";;;;"968831200306630656";https://twitter.com/orionwl/status/968831200306630656
