username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
peterktodd;2018-03-05 11:51;0;0;"That's also a trusted validator model, which is a very simple technical problem; not very interesting.";;;;"970748647070748672";https://twitter.com/peterktodd/status/970748647070748672
peterktodd;2018-03-05 11:47;33;112;""We are told that it’s not our guns ... that would be taken away, but those of the bad guys. But when those advocating bans don’t even understand the mechanics and basic terminology of guns, it doesn’t inspire confidence." https://www. nytimes.com/2018/03/05/opi nion/mom-gun-safety-intruder.html …";;;;"970747689456623616";https://twitter.com/peterktodd/status/970747689456623616
peterktodd;2018-03-05 11:44;21;73;"Translation: We want more women to abandon cash in favor of having all their transactions under surveillance by both authorities, and the men in their lives who can compel them to give access to transaction logs (e.g. online banking). What a terrible, fascist, idea. https:// twitter.com/jensmccabe/sta tus/970730710368632832 …";;;;"970746915221622784";https://twitter.com/peterktodd/status/970746915221622784
peterktodd;2018-03-05 11:36;3;30;"OH: "The problem with zero-knowledge candy poisoning proofs, is after the required 128 iterations, the main threat model is actually diabetes."";;;;"970744832640651264";https://twitter.com/peterktodd/status/970744832640651264
peterktodd;2018-03-05 11:24;0;3;"Why would you even have rebalancing in a cryptographic merkle tree?";;;;"970741960423112705";https://twitter.com/peterktodd/status/970741960423112705
peterktodd;2018-03-05 10:16;0;0;"I wonder if the law in 2014 mandated the actual solution of a hash-based chain...";;;;"970724862460280833";https://twitter.com/peterktodd/status/970724862460280833
peterktodd;2018-03-05 09:42;0;1;"Any idea how old this tech is?";;;;"970716088563462144";https://twitter.com/peterktodd/status/970716088563462144
peterktodd;2018-03-05 06:48;0;2;"Right, so you're talking about consumers; cloud I'd expect to be much less over-previsioned. It's a key advantage of object storage after all.";;;;"970672356501856256";https://twitter.com/peterktodd/status/970672356501856256
peterktodd;2018-03-05 06:34;0;2;"The ones I know who have told me have asked not to publicize who they are.";;;;"970668964635267072";https://twitter.com/peterktodd/status/970668964635267072
peterktodd;2018-03-05 06:34;0;2;"What market specifically do you think has that behavior? Consumer? Industry? Cloud?";;;;"970668781784543232";https://twitter.com/peterktodd/status/970668781784543232
peterktodd;2018-03-05 06:22;4;38;"Since this signals criticism of signalling, I agree. https:// twitter.com/TheStoicEmpero r/status/970097540661108736 …";;;;"970665960792207361";https://twitter.com/peterktodd/status/970665960792207361
peterktodd;2018-03-05 04:08;68;159;"Sounds like PayPal is trying to patent @OPENDIME #ShittyPatents https://www. coindesk.com/paypal-eyes-in stant-crypto-payments-tech/ …";;@OPENDIME;#ShittyPatents;"970632082396336130";https://twitter.com/peterktodd/status/970632082396336130
peterktodd;2018-03-05 03:55;0;0;"In all seriousness, Airbus's design philosophy re: sidesticks sounds terrifying.";;;;"970628866250129408";https://twitter.com/peterktodd/status/970628866250129408
peterktodd;2018-03-05 03:53;0;0;"One of my family is a pilot, and on their laptop is a sticker saying "If it's not Boeing, I'm not going!"";;;;"970628471440330752";https://twitter.com/peterktodd/status/970628471440330752
