username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
practicalswift;2018-03-01 01:49;0;17;"Re-visiting some old fuzzing results: this clang crasher I found almost three years ago still segfaults clang (v7 trunk) ッ $ clang -x c -o /dev/null - <<< 'practicalswift =^ [({ return btc; })];' OK, a bit more prosaic minimized: $ clang -x c -o /dev/null - <<< '_=^[({retur;'";;;;"969147708220104704";https://twitter.com/practicalswift/status/969147708220104704
practicalswift;2018-01-10 12:54;0;1;"I assumed s/HF/HW/ ッ";;;;"951195687152181248";https://twitter.com/practicalswift/status/951195687152181248
practicalswift;2018-01-09 23:11;0;3;"I use the tip address for dogfooding and as a bug bounty. If the amount stored (0.004 BTC currently) is stolen I know that my Bitcoin development machine is compromised and/or that Bitcoin Core contains a serious flaw. Getting that info is worth way way more than the BTC to me ッ";;;;"950988410218516482";https://twitter.com/practicalswift/status/950988410218516482
practicalswift;2018-01-09 22:52;1;1;"Unfortunately Bitcoin Core does not have SegWit wallet support yet, but as soon as @pwuille 's SegWit wallet support PR ( https:// github.com/bitcoin/bitcoi n/pull/11403 … ) is merged I'll update my tip address ッ";;@pwuille;;"950983687348383745";https://twitter.com/practicalswift/status/950983687348383745
practicalswift;2018-01-09 22:51;1;2;"Unfortunately Bitcoin Core does not have SegWit wallet support yet, but as soon as @pwuille 's SegWit wallet support PR ( https:// github.com/bitcoin/bitcoi n/pull/11403 … ) is merged I'll update my tip address ッ";;@pwuille;;"950983512127164416";https://twitter.com/practicalswift/status/950983512127164416
practicalswift;2018-01-09 14:14;47;235;"Sayonara Apple & the Swift compiler project ッ After 1949 commits to the Swift compiler project ( https:// github.com/apple/swift/gr aphs/contributors … ) I'll now focus 100% on c-lightning ( https:// github.com/ElementsProjec t/lightning/graphs/contributors?from=2017-01-01&to=2017-12-31&type=c … ) & Bitcoin Core ( https:// github.com/bitcoin/bitcoi n/graphs/contributors?from=2017-01-01&to=2017-12-31&type=c … ) Let's make Tip: 15n9yZyf73X9Ex3RznCPAxSQzCwAVFJeex";;;;"950853191515721728";https://twitter.com/practicalswift/status/950853191515721728
practicalswift;2017-12-28 13:07;0;4;"I'll start using them as soon as sipa's SegWit wallet support PR ( https:// github.com/bitcoin/bitcoi n/pull/11403 … ) is merged! I'll be part of 0.16.0.";;;;"946487704543473664";https://twitter.com/practicalswift/status/946487704543473664
practicalswift;2017-12-28 08:37;28;56;"Spare time is limited! Which project should I contribute to during 2018? ッ Apple Swift: https:// github.com/apple/swift/gr aphs/contributors?from=2017-01-01&to=2017-12-31&type=c … Tip vote: 13N566anrZc7k3G4nt5t4pQxsYMvZKbU2v Bitcoin Core & c-lightning: https:// github.com/bitcoin/bitcoi n/graphs/contributors?from=2017-01-01&to=2017-12-31&type=c … https:// github.com/ElementsProjec t/lightning/graphs/contributors?from=2017-01-01&to=2017-12-31&type=c … Tip vote: 15n9yZyf73X9Ex3RznCPAxSQzCwAVFJeex";;;;"946419752985157632";https://twitter.com/practicalswift/status/946419752985157632
practicalswift;2017-06-30 12:28;0;1;"Thanks! Added to the compiler_crashers validation test set: https:// github.com/apple/swift/pu ll/10620 …";;;;"880870728886870016";https://twitter.com/practicalswift/status/880870728886870016
practicalswift;2017-06-26 22:19;0;0;"Great! I'd like to add the crash case here https:// github.com/apple/swift/tr ee/master/validation-test/compiler_crashers … too if you allow me (requires Apache licensing) ッ";;;;"879569761704849413";https://twitter.com/practicalswift/status/879569761704849413
