username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
pwuille;2018-03-05 11:32;0;1;"Oh, you want O(log n) for adding N elements. I thought you wanted O(log n) *per element* for adding N elements. Yeah, no idea.";;;;"970743839148400645";https://twitter.com/pwuille/status/970743839148400645
pwuille;2018-03-05 10:43;0;1;"When inserting a new element to the tree, you show the two leaves it falls between (proving that it's being inserted in the right place), and enough information to do the rebalancing (which just depends on the position of inserting), for example in a red-black tree.";;;;"970731454916386816";https://twitter.com/pwuille/status/970731454916386816
pwuille;2018-03-05 09:23;0;3;"If the elements in your tree are required to be sorted, you can do non-inclusion proofs by revealing the two adjacent leafs which the query should be between. I believe proving a rebalancing of a Merkle tree is amortized O(log(n)) at least?";;;;"970711403207282690";https://twitter.com/pwuille/status/970711403207282690
pwuille;2018-03-03 06:19;19;151;"At Financial Cryptography 2018 even the food needs to be quantum resistant. pic.twitter.com/fHJfoJu8eE";;;;"969940286448205825";https://twitter.com/pwuille/status/969940286448205825
pwuille;2018-03-02 09:07;6;43;"FWIW, my estimate for batch validation of a Sapling-sized circuit in BP is around 200ms. I very much agree that that is still not an acceptable time in a blockchain setting.";;;;"969620290828406787";https://twitter.com/pwuille/status/969620290828406787
pwuille;2018-03-02 08:57;2;22;"I'm sad to hear there are misunderstandings, but we do observe in the post "for more than a few thousand gates, SNARKs are the clear winner". I'm happy to relay suggestions for improving it, but we can't explain all subtle trade-offs either in a blog post for a general audience.";;;;"969617614061400066";https://twitter.com/pwuille/status/969617614061400066
pwuille;2018-03-02 08:07;6;30;"To me, the largest advantage is indeed the lack of trusted setup, and I believe that for some applications this is the difference between feasible and not. However, that choice comes with serious trade-offs that matter in many cases and not in some. More options is better.";;;;"969605162640789504";https://twitter.com/pwuille/status/969605162640789504
pwuille;2018-03-02 08:05;0;5;"Of course, not all things are equal, and for most applications BPs come with serious downsides. But not all; I'm just happy to see more possible trade-offs.";;;;"969604586288959494";https://twitter.com/pwuille/status/969604586288959494
pwuille;2018-03-02 08:04;1;13;"I'm very happy to see research on improving the trusted setup and its scalability. I don't believe it counts as "solving" it though - all other things equal, you'd much rather have no setup, if only for simplifying deployability.";;;;"969604357070172166";https://twitter.com/pwuille/status/969604357070172166
pwuille;2018-03-02 08:00;3;15;"No offence, but I think you're overstating BP's advantages. (1) For simple statements BPs are faster to batch validate than SNARKs, but for the more common case of complex circuits or no ability to batch, SNARKs clearly win (2) Depends on context (3) BPs also build on past work";;;;"969603296523669504";https://twitter.com/pwuille/status/969603296523669504
pwuille;2018-03-01 03:29;29;118;"If the question is could Bitcoin surpass Monero's privacy at it exists today: probably. Will Bitcoin be able to surpass research projects of that time: probably not. And that is fine.";;;;"969172818297581568";https://twitter.com/pwuille/status/969172818297581568
pwuille;2018-03-01 03:26;1;22;"No apology needed. I'm just trying to clear up misunderstandings that many people have about the various ways these technologies interact.";;;;"969172063062839297";https://twitter.com/pwuille/status/969172063062839297
pwuille;2018-03-01 03:21;5;32;"So I'm happy to see research in that area, but IMO the tradeoffs such systems make are unacceptable for Bitcoin. Pure CT (which only hides amounts), and using other tech (incentivized mixing, tumblebit, ...) for reducing linkability of transactions seems much more viable.";;;;"969170866016804864";https://twitter.com/pwuille/status/969170866016804864
pwuille;2018-03-01 03:10;2;13;"So I think the only real question to ask is about opinions on what should be prioritized and hopefully proposed. All privacy technology comes with a cost, and unfortunately Monero (and Zcash) style transactions have a very significant impact on scalability (spent coins db).";;;;"969168010111012864";https://twitter.com/pwuille/status/969168010111012864
pwuille;2018-03-01 03:06;2;19;"If you're talking about what technology Bitcoin can adopt, the answer is of course (almost) anything the ecosystem agrees upon. If we all want a way to do Monero-style transactions in Bitcoin, then Bitcoin could adopt an extension block with exactly that.";;;;"969167062642909184";https://twitter.com/pwuille/status/969167062642909184
pwuille;2018-03-01 03:04;1;11;"Perhaps the question you want to ask is what a Bitcoin-with-confidential-transactions would look like (and those could optionally use Bulletproofs). The answer however depends very much on what that hypothetical looks like.";;;;"969166380980416512";https://twitter.com/pwuille/status/969166380980416512
pwuille;2018-03-01 03:02;8;42;""Even with bulletproofs" is a meaningless question. Bulletproofs are a way of implementing zero-knowledge proofs. Bitcoin (right now) doesn't use zero knowledge proofs, so there is no way Bulletproofs fit in in any way.";;;;"969165857589997568";https://twitter.com/pwuille/status/969165857589997568
