username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
suhasdaftuar;2017-11-17 18:12;41;208;"This isn’t about who the lead dev is; everyone makes mistakes. It’s about the process and culture of a project. All project supporters share blame, either for missing in code review or tolerating a culture where consensus changes can be merged with little review or testing. https:// twitter.com/real_vijay/sta tus/931695981673955328 …";;;;"931706750226583552";https://twitter.com/suhasdaftuar/status/931706750226583552
suhasdaftuar;2017-11-06 14:18;0;8;"Yes, markets provide useful information. I disagree with idea that market should be exclusive decider of what Bitcoin is.";;;;"927661542459441153";https://twitter.com/suhasdaftuar/status/927661542459441153
suhasdaftuar;2017-11-06 13:40;6;37;"And it undermines the project’s goals if we tell newcomers that this is all about price. Wrong long-term culture.";;;;"927651967639400449";https://twitter.com/suhasdaftuar/status/927651967639400449
suhasdaftuar;2017-11-06 13:38;5;30;"Deferring exclusively to market reflects lack of conviction in project goals.";;;;"927651533847760896";https://twitter.com/suhasdaftuar/status/927651533847760896
suhasdaftuar;2017-11-06 13:37;0;17;"...even if the market value of that is not highest relative to other endeavors.";;;;"927651097451384832";https://twitter.com/suhasdaftuar/status/927651097451384832
suhasdaftuar;2017-11-06 13:35;3;38;"The world doesn’t otherwise have a censorship resistant money, so I want to fill that void...";;;;"927650716717592576";https://twitter.com/suhasdaftuar/status/927650716717592576
suhasdaftuar;2017-11-06 13:34;0;24;"Others may disagree, and I don’t necessarily fault those following different vision — unless they burn down Bitcoin to achieve their goals!";;;;"927650302182019072";https://twitter.com/suhasdaftuar/status/927650302182019072
suhasdaftuar;2017-11-06 13:33;2;34;"The answer doesn’t matter to me — I’m not going to work on the latter, regardless of upside potential in the market.";;;;"927650088272498688";https://twitter.com/suhasdaftuar/status/927650088272498688
suhasdaftuar;2017-11-06 13:32;0;23;"For instance what is the value of a censorship resistant money compared to a Paypal 2.0?";;;;"927649825516146688";https://twitter.com/suhasdaftuar/status/927649825516146688
suhasdaftuar;2017-11-06 13:29;23;69;"This kind of thinking is dangerously misguided. Markets are useful indicators but don’t determine what we should be trying to build. https:// twitter.com/jgarzik/status /927614957205700608 …";;;;"927649258395914241";https://twitter.com/suhasdaftuar/status/927649258395914241
suhasdaftuar;2017-08-25 07:58;2;9;"Good thing it wasn't a hard fork! https:// twitter.com/el33th4xor/sta tus/901032281174929409 …";;;;"901096377895321600";https://twitter.com/suhasdaftuar/status/901096377895321600
suhasdaftuar;2017-08-09 07:30;2;9;"This. https:// twitter.com/morcosa/status /895289816870465537 …";;;;"895291086675091456";https://twitter.com/suhasdaftuar/status/895291086675091456
suhasdaftuar;2017-05-16 15:59;0;6;"One reference: http://www. penguinrandomhouse.com/books/298916/a fter-the-trade-is-made-revised-ed-by-david-m-weiss/9781440623790/ …";;;;"864616360390864898";https://twitter.com/suhasdaftuar/status/864616360390864898
suhasdaftuar;2017-01-25 11:23;16;56;"Chaincode Labs is excited to welcome its three new hires https:// github.com/TheBlueMatt , https:// github.com/ryanofsky , and https:// github.com/jnewbery !";;;;"824336794653261824";https://twitter.com/suhasdaftuar/status/824336794653261824
